Unnamed: 0,HCP_ID,prescription_sales_ticaprant,prescription_sales_competitor,mNSCLC_patient_count,egfr_patient_count,ticaprant_patient_count,competitor_patient_count,feature_1L_patient_count,feature_2L_patient_count,feature_days_in_1L_avg,feature_days_in_2L_avg
0,HCP_01,0.0,261.70455518447284,3.0068362573376537,6.0,2.092939981314705,0.750084799861643,4.408182293735981,4.257054062909648,68.22167422065462,118.24549462551174
1,HCP_02,0.0,178.69886310437172,2.612197088766193,4.3870952444898945,0.0,2.749228546107028,0.0,1.9919890089158359,120.07428107513205,104.39131201091038
2,HCP_05,0.0,0.0,3.9892418807579157,2.336015649951585,2.4747781184113653,0.0,0.7024816738430629,1.5782868824763756,34.97766275700895,22.04367864254495
3,HCP_06,79.41420717379408,132.31272662724484,2.1049659435930264,2.583796640856671,0.0,0.9818577912722557,2.6957773129029277,0.3988186201449573,124.85435823625075,48.40896289805302
4,HCP_09,125.7625779188906,94.52586760275098,4.842121884223018,4.664931167594366,0.0,4.247790361644181,0.0,1.7096223074513557,102.84310112674672,34.47178186945028
5,HCP_11,53.695099959988845,100.89296223292394,2.098599350106492,2.462533911209229,0.0,1.8794433547817369,1.2909840575108307,2.6683722480426417,116.24323560469911,42.670611451658864
6,HCP_16,4.4058707654393805,323.96131663081775,2.3458372967640893,3.0577440502641795,0.19286904229051502,1.9878084693341644,1.7838558512480334,2.898443065456618,0.0,139.75
7,HCP_17,10.174259538202488,449.6408670332037,4.972777305110917,0.7218072425372439,0.5142290963444087,1.8797347522705885,2.7507712443729844,1.754072631282253,68.69456523639455,0.0
8,HCP_20,117.48839437708482,0.0,3.3937312362781555,4.076178260874412,3.091618474898335,0.0,0.0,1.6760947336343859,152.88194430901947,37.75913138080651
9,HCP_21,0.0,302.5547815568691,5.182895407787655,2.27437770653407,2.6130318414646325,2.03680663729703,2.6333903726551533,1.513393451827985,137.63166175194692,80.31658531830328
10,HCP_22,31.268104202246956,0.0,2.1709584295848363,4.088034984976756,1.9083224645353096,1.498116926879413,2.01052000674531,3.426544608725812,68.75134403209087,15.756326090938119
11,HCP_25,32.98882263047624,349.63287771535624,4.0190441919334,1.2113537492435127,2.8201400598301105,0.9354026536074935,2.190463419065413,2.483099660344558,180.0,102.71553682132196
12,HCP_26,80.10083168933934,354.2112255595249,2.3581562856504017,5.339874965761382,2.3581698917250624,0.0,0.9438224914938544,3.03129890899094,110.18229901480734,5.926642069987249
13,HCP_27,42.52119281867849,0.0,2.454356199935538,3.792955140419925,1.5532777335004329,0.22131965992951885,0.0,1.8033095980970888,53.946544710135576,40.07108886019883
14,HCP_28,155.89263444524897,29.45922319792306,3.8535384598015074,4.535710272096893,2.635197182735364,0.48405381058292773,2.8432725445678146,2.250774237161741,98.76242599684333,72.13312044761898
15,HCP_29,152.1803493627445,0.0,4.104524144540421,2.739474371759051,0.0,0.14965064260063893,0.14289765707854668,2.155231198129846,2.420311447234253,95.0536728282965
16,HCP_32,19.774993911319466,174.4832300526575,5.141747470386472,2.7408936493598577,0.0,3.234969169960208,0.0,0.5081626198543469,130.57190682122203,76.14890495019223
17,HCP_33,57.146888682526836,11.26256161299158,4.13316962000518,0.0,3.295544420714349,1.8630873694405674,4.251244195498124,3.3033803336454906,0.0,36.68808996291398
18,HCP_34,70.18738828317737,689.4553451751891,2.0,1.0520559812431514,0.1891665923290684,3.6246424384127414,0.0,0.6481124484028731,69.27711348211733,0.0
19,HCP_35,30.586894904675763,217.95735428600636,3.560458097439578,2.551397243047018,1.6866537879571575,2.065569734892908,0.2918985153636408,0.0,47.207951206612634,0.0
20,HCP_36,87.290797250946,0.0,3.6617101371538134,2.0899585210450544,2.2325399702675393,1.7459774162586146,0.0,4.344112333331233,148.8561974343001,132.03050649638453
21,HCP_37,167.9713215340802,0.0,5.459957620924909,2.075189140028855,0.9654571263586184,0.373943005469774,3.1878838139502275,2.3916227086861843,150.4628274823938,104.42331344091896
22,HCP_38,0.0,137.86934734409112,2.0,1.252130784690109,0.7942078662224328,4.392832460920525,1.63297936530785,0.6872707416963459,13.380225517823382,0.0
23,HCP_39,83.49369711475133,10.981628836505902,2.1792063377891715,2.519767225047628,1.1699792114353567,2.9366449622340833,2.8681141281464932,3.705256036865368,0.0,35.42910430999123
